Folder,Average_SSIM,Average_PSNR,Average_LPIPS,Average_FID,Phase,,
001,0.9627,34.19,0.0588,93.5298,Pre-Finetuning,,
002,0.9841,29.36,0.0847,76.0089,Pre-Finetuning,,
003,0.959,25.66,0.1085,108.7164,Pre-Finetuning,,
004,0.9779,31.56,0.0647,67.8103,Pre-Finetuning,,
005,0.9838,30.03,0.0774,75.4443,Pre-Finetuning,,
006,0.9551,25.96,0.1169,204.2832,Pre-Finetuning,,
007,0.8492,16.16,0.3565,225.5661,Pre-Finetuning,,
008,0.8721,15.56,0.4439,274.8578,Pre-Finetuning,,
009,0.9734,30.49,0.0734,104.2672,Pre-Finetuning,,
010,0.874,15.56,0.4698,254.4388,Pre-Finetuning,,
011,0.9888,30.03,0.0832,81.5992,Pre-Finetuning,,
012,0.8562,16.84,0.3476,322.6437,Pre-Finetuning,,
013,0.9811,29.19,0.1023,96.3286,Pre-Finetuning,,
014,0.9182,27.61,0.1163,123.9206,Pre-Finetuning,,
015,0.9097,29.26,0.1067,128.0118,Pre-Finetuning,,
016,0.9063,32.64,0.1164,120.4343,Pre-Finetuning,,
017,0.9281,32.51,0.099,117.1198,Pre-Finetuning,,
Overall_Average,0.9341,26.62,0.1662,145.5871,Pre-Finetuning,,
001,0.9717,34.88,0.0515,90.5026,Post-Finetuning,,
002,0.9861,29.8,0.0758,70.6899,Post-Finetuning,,
003,0.9651,25.95,0.0976,103.2083,Post-Finetuning,,
004,0.9832,32.53,0.0564,58.0417,Post-Finetuning,,
005,0.9865,30.32,0.0714,73.8872,Post-Finetuning,,
006,0.9661,26.31,0.104,205.5318,Post-Finetuning,,
007,0.8552,16.25,0.3444,203.4732,Post-Finetuning,,
008,0.8764,15.62,0.4438,276.0007,Post-Finetuning,,
009,0.9797,30.99,0.0671,116.6517,Post-Finetuning,,
010,0.8789,15.69,0.4625,262.9128,Post-Finetuning,,
011,0.99,29.96,0.0811,80.3544,Post-Finetuning,,
012,0.8606,16.91,0.3423,320.5506,Post-Finetuning,,
013,0.9851,29.39,0.0881,86.4288,Post-Finetuning,,
014,0.9406,28.81,0.0922,93.1581,Post-Finetuning,,
015,0.9325,31.1,0.0616,92.1054,Post-Finetuning,,
016,0.9425,33.86,0.0844,106.668,Post-Finetuning,,
017,0.9558,33.84,0.0754,100.4056,Post-Finetuning,,
Overall_Average,0.9445,27.19,0.1529,137.6806,Post-Finetuning,,
